epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6005.54,1.10544,1.81253,0.87935,1.17291,0,0.67701,0.67164,0.69366,0.42033,0.69475,0.67164,0.7186,0.41304,1.42333,2.26302,1.20987,1.3395,0,0.0009308,0.0009308,0.0009308
29,6207.28,1.0757,1.76628,0.87426,1.15197,0,0.69427,0.61692,0.69111,0.40367,0.70275,0.63515,0.70293,0.38701,1.44481,2.6174,1.32953,1.42788,0,0.0008912,0.0008912,0.0008912
30,6409.89,1.06833,1.76671,0.8426,1.14293,0,0.71608,0.65174,0.69646,0.43411,0.7334,0.66667,0.72036,0.41747,1.37749,2.37587,1.23578,1.30843,0,0.0008516,0.0008516,0.0008516
31,6611.77,1.06017,1.73118,0.80563,1.14222,0,0.68132,0.64884,0.7073,0.39797,0.69713,0.65275,0.69729,0.37481,1.487,2.42668,1.26034,1.40041,0,0.000812,0.000812,0.000812
32,6814.69,1.04723,1.71492,0.81462,1.13119,0,0.66121,0.62189,0.65543,0.38977,0.71639,0.63184,0.68005,0.37562,1.41254,2.50379,1.36604,1.37256,0,0.0007724,0.0007724,0.0007724
33,7018.7,1.03241,1.698,0.79039,1.12201,0,0.73736,0.68441,0.7402,0.42432,0.74255,0.68879,0.76096,0.41356,1.44908,2.40243,1.1866,1.39862,0,0.0007328,0.0007328,0.0007328
34,7222.59,1.05455,1.72599,0.81237,1.14241,0,0.67705,0.69652,0.7189,0.4299,0.76061,0.64179,0.74311,0.40331,1.42109,2.54297,1.17905,1.38377,0,0.0006932,0.0006932,0.0006932
35,7424.31,1.02706,1.70295,0.79304,1.12422,0,0.73065,0.64779,0.71527,0.41202,0.70613,0.69337,0.73294,0.39471,1.40933,2.61625,1.19229,1.35752,0,0.0006536,0.0006536,0.0006536
36,7627.39,1.01439,1.68599,0.76181,1.107,0,0.69639,0.67662,0.68774,0.42295,0.71635,0.68159,0.70787,0.4065,1.41701,2.41282,1.23591,1.36499,0,0.000614,0.000614,0.000614
37,7831.04,1.00479,1.65015,0.73425,1.1178,0,0.76029,0.62189,0.6937,0.42074,0.77884,0.63682,0.72563,0.40764,1.44679,2.41633,1.1924,1.39055,0,0.0005744,0.0005744,0.0005744
38,8033.38,0.99501,1.62975,0.75669,1.09751,0,0.71157,0.65174,0.72734,0.43657,0.72975,0.66667,0.74028,0.42851,1.42661,2.3428,1.13865,1.38614,0,0.0005348,0.0005348,0.0005348
39,8236.96,0.97596,1.62095,0.71668,1.09889,0,0.7186,0.67337,0.7208,0.43972,0.73787,0.70022,0.73848,0.43252,1.38597,2.31747,1.18917,1.33794,0,0.0004952,0.0004952,0.0004952
40,8437.91,0.9372,1.54135,0.68533,1.07189,0,0.73614,0.65174,0.70694,0.43524,0.72683,0.6751,0.73246,0.42106,1.39651,2.60503,1.21417,1.3671,0,0.0004556,0.0004556,0.0004556
41,8633.98,0.92893,1.55728,0.65091,1.07854,0,0.69192,0.70394,0.73193,0.45634,0.69681,0.70891,0.74092,0.43177,1.32909,2.54169,1.14065,1.29455,0,0.000416,0.000416,0.000416
42,8829.82,0.91798,1.51791,0.60519,1.07084,0,0.7373,0.69816,0.73518,0.46821,0.75306,0.71308,0.74881,0.44644,1.37243,2.42716,1.11678,1.34704,0,0.0003764,0.0003764,0.0003764
43,9024.72,0.90493,1.49023,0.60279,1.06035,0,0.69557,0.70149,0.73788,0.45652,0.71008,0.70676,0.74969,0.43975,1.39416,2.38787,1.12881,1.3466,0,0.0003368,0.0003368,0.0003368
44,9222.26,0.87322,1.44872,0.56916,1.05187,0,0.72389,0.65174,0.72913,0.46039,0.75789,0.66967,0.75655,0.44093,1.38609,2.48847,1.12318,1.35681,0,0.0002972,0.0002972,0.0002972
45,9449.63,0.86277,1.42951,0.56353,1.03177,0,0.6814,0.67034,0.73193,0.44836,0.81187,0.60697,0.75478,0.43473,1.40134,2.52823,1.14725,1.36189,0,0.0002576,0.0002576,0.0002576
46,9647.99,0.84298,1.42719,0.55815,1.02725,0,0.69992,0.68657,0.72045,0.46737,0.73327,0.68657,0.75516,0.43898,1.37717,2.56927,1.14358,1.37101,0,0.000218,0.000218,0.000218
47,9845.82,0.83068,1.4041,0.53239,1.01568,0,0.74902,0.63184,0.74162,0.4738,0.76082,0.64179,0.76164,0.44503,1.3752,2.51372,1.12683,1.34932,0,0.0001784,0.0001784,0.0001784
48,10046.5,0.8215,1.39356,0.51258,1.01568,0,0.6571,0.70149,0.72395,0.46309,0.66812,0.71113,0.75041,0.43423,1.38774,2.45828,1.16685,1.35464,0,0.0001388,0.0001388,0.0001388
49,10247.1,0.81473,1.37083,0.51517,1.00766,0,0.64563,0.71642,0.72419,0.45962,0.67119,0.73134,0.75445,0.43564,1.41708,2.48602,1.14771,1.38968,0,9.92e-05,9.92e-05,9.92e-05
50,10448.6,0.79138,1.3621,0.50241,1.00065,0,0.68351,0.67662,0.72876,0.46025,0.69546,0.69307,0.76419,0.44748,1.41385,2.53157,1.12258,1.39888,0,5.96e-05,5.96e-05,5.96e-05
